﻿Empregados - admissões - Novo Caged sem ajuste
Sigla;Código;Estado;2020;2021;2022;2023;2024;2025
AC;12;Acre;25155;37950;47917;48698;53418;9110
AL;27;Alagoas;103029;143888;170798;177786;198213;32109
AM;13;Amazonas;140866;193341;232076;235306;285045;55661
AP;16;Amapá;17332;26547;39512;40179;47065;8836
BA;29;Bahia;502047;709513;850996;870463;961394;186748
CE;23;Ceará;348315;475227;531407;552640;608121;113255
DF;53;Distrito Federal;233838;323673;397777;406285;450671;86914
ES;32;Espírito Santo;284289;388932;465871;503157;558418;102196
GO;52;Goiás;488672;696296;865324;900541;980619;192982
MA;21;Maranhão;147185;197238;246172;242242;259585;48365
MG;31;Minas Gerais;1517741;2096367;2418303;2562775;2763831;519565
MS;50;Mato Grosso do Sul;199479;266979;354359;388459;408773;78201
MT;51;Mato Grosso;331829;460132;576790;609036;646100;133241
PA;15;Pará;265256;368204;409809;439060;476774;84958
PB;25;Paraíba;122197;163776;186452;196274;226598;43229
PE;26;Pernambuco;351203;479867;547180;578065;630759;114670
PI;22;Piauí;73571;112354;128037;142917;146556;26760
PR;41;Paraná;1128743;1498594;1705282;1764891;1977453;391203
RJ;33;Rio de Janeiro;889265;1231386;1485908;1521087;1664481;300358
RN;24;Rio Grande do Norte;128290;180605;193837;209231;239448;42196
RO;11;Rondônia;87791;123469;151022;155923;164543;30753
RR;14;Roraima;23485;33039;44467;45653;47688;8486
RS;43;Rio Grande do Sul;930106;1264945;1399854;1409130;1529591;331757
SC;42;Santa Catarina;1003087;1392788;1466618;1492050;1672889;346604
SE;28;Sergipe;67402;95309;110795;119340;135086;26188
SP;35;São Paulo;4755578;6525003;7072326;7116625;8016921;1509119
TO;17;Tocantins;61588;89175;113652;123575;132402;26559
