﻿Empregados - demissões - Novo Caged sem ajuste
Sigla;Código;Estado;2020;2021;2022;2023;2024;2025
AC;12;Acre;20691;29266;40352;44683;47419;9326
AL;27;Alagoas;98726;114537;150111;159611;181426;38520
AM;13;Amazonas;129455;157634;200385;211998;248838;49958
AP;16;Amapá;16346;22683;34749;35974;39929;7583
BA;29;Bahia;499647;574796;733339;797938;880909;159684
CE;23;Ceará;318948;376558;463665;497120;552809;107992
DF;53;Distrito Federal;245370;269379;351626;368942;408877;72399
ES;32;Espírito Santo;275952;335090;419731;468590;523840;95371
GO;52;Goiás;460629;585671;775196;848578;921639;158203
MA;21;Maranhão;127161;157919;207879;220321;243275;45876
MG;31;Minas Gerais;1476342;1775187;2236991;2419102;2622621;462922
MS;50;Mato Grosso do Sul;184433;228342;314695;361316;396354;66692
MT;51;Mato Grosso;309173;388635;519796;571616;620832;104024
PA;15;Pará;233794;304599;378308;394326;438157;78171
PB;25;Paraíba;113379;129005;163478;176441;199603;43424
PE;26;Pernambuco;349864;391738;487281;526766;570425;112312
PI;22;Piauí;71158;86725;115658;123513;133176;24732
PR;41;Paraná;1078076;1318986;1589323;1678250;1850384;336109
RJ;33;Rio de Janeiro;992902;1053219;1301418;1355048;1515712;281344
RN;24;Rio Grande do Norte;123837;143011;173103;186298;205748;40329
RO;11;Rondônia;85818;109355;135622;145389;155856;27579
RR;14;Roraima;19403;28301;38213;41827;42479;7310
RS;43;Rio Grande do Sul;944617;1110254;1296723;1363147;1465139;274332
SC;42;Santa Catarina;952863;1215839;1377611;1431084;1569466;293445
SE;28;Sergipe;71144;81582;100568;105696;119963;26232
SP;35;São Paulo;4741312;5643109;6508968;6731521;7558775;1335413
TO;17;Tocantins;54868;73007;99584;110095;123986;21738
