População residente - total
Sigla;Código;Estado;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
AC;12;Acre;417718;433534;449350;465166;480982;483593;498753;513913;529073;557882;568864;579846;590828;601810;612792;623774;655385;669965;684545;733559;735746;737933;740120;742307;744494;746681;748868;751055;753242;755429;757616;830018;831509;833000;
AL;27;Alagoas;2514100;2548676;2583251;2617827;2652402;2633251;2660225;2687200;2714174;2827856;2865349;2902842;2940335;2977828;3015321;3052814;3037103;3059899;3082694;3120494;3121588;3122682;3123776;3124870;3125964;3127058;3128152;3129246;3130340;3131434;3132528;3127683;3126914;3126145;
AM;13;Amazonas;2103243;2171259;2239276;2307292;2375309;2389279;2464270;2539260;2614251;2817252;2869746;2922240;2974734;3027228;3079722;3132216;3221939;3272072;3322205;3483985;3512929;3541873;3570817;3599761;3628705;3657649;3686593;3715537;3744481;3773425;3802369;3941613;3971613;4001613;
AP;16;Amapá;289397;314428;339459;364490;389521;379459;403496;427532;451569;477032;502281;527530;552779;578028;603277;628526;587311;608419;629527;669526;674638;679750;684862;689974;695086;700198;705310;710422;715534;720646;725758;733759;736759;739759;
BA;29;Bahia;11867991;12054843;12241696;12428548;12615400;12541675;12664122;12786568;12909015;13085769;13293212;13500654;13708097;13915539;14122982;14330424;14080654;14048780;14016906;14016906;14026906;14036906;14046906;14056906;14066906;14076906;14086906;14096906;14106906;14116906;14126906;14141626;14146626;14151626;
CE;23;Ceará;6366647;6492969;6619290;6745612;6871933;6809290;6937614;7065937;7194261;7431597;7537364;7643131;7748898;7854665;7960432;8066199;8185286;8258834;8332381;8452381;8497381;8542381;8587381;8632381;8677381;8722381;8767381;8812381;8857381;8902381;8947381;8794957;8819957;8844957;
DF;53;Distrito Federal;1601094;1661518;1721943;1782367;1842792;1821946;1876566;1931186;1985806;2051146;2138146;2225146;2312146;2399146;2486146;2573146;2455903;2498032;2540160;2570160;2580160;2590160;2600160;2610160;2620160;2630160;2640160;2650160;2660160;2670160;2680160;2817381;2832381;2847381;
ES;32;Espírito Santo;2600618;2651663;2702707;2753752;2804797;2802707;2852707;2902707;2952707;3097498;3147498;3197498;3247498;3297498;3347498;3397498;3351669;3383371;3415072;3514952;3559952;3604952;3649952;3694952;3739952;3784952;3829952;3874952;3919952;3964952;4009952;3833712;3858712;3883712;
GO;52;Goiás;4018903;4116933;4214963;4312993;4411023;4514967;4609482;4703997;4798512;5004197;5104197;5204197;5304197;5404197;5504197;5604197;5647035;5727035;5807035;6003788;6103788;6203788;6303788;6403788;6503788;6603788;6703788;6803788;6903788;7003788;7103788;7056495;7076495;7096495;
MA;21;Maranhão;4930253;5006218;5082183;5158148;5234113;5222183;5287183;5352183;5417183;5657552;5727552;5797552;5867552;5937552;6007552;6077552;6118995;6158995;6198995;6574789;6599789;6624789;6649789;6674789;6699789;6724789;6749789;6774789;6799789;6824789;6849789;6776699;6761699;6746699;
MG;31;Minas Gerais;15743152;16057883;16372613;16687343;17002073;16672613;16922613;17172613;17422613;17905134;18179134;18453134;18727134;19001134;19275134;19549134;19273506;19385418;19497330;19597330;19747330;19897330;20047330;20197330;20347330;20497330;20647330;20797330;20947330;21097330;21247330;20539989;20689989;20839989;
MS;50;Mato Grosso do Sul;1780373;1824104;1867834;1911565;1955295;1927834;1967834;2007834;2047834;2078070;2118070;2158070;2198070;2238070;2278070;2318070;2265274;2306274;2347274;2449024;2499024;2549024;2599024;2649024;2699024;2749024;2799024;2849024;2899024;2949024;2999024;2757013;2777013;2797013;
MT;51;Mato Grosso;2027231;2081532;2135832;2190133;2244433;2235832;2285832;2335832;2385832;2505245;2555245;2605245;2655245;2705245;2755245;2805245;2854642;2904642;2954642;3035122;3085122;3135122;3185122;3235122;3285122;3335122;3385122;3435122;3485122;3535122;3585122;3658649;3683649;3708649;
PA;15;Pará;4950060;5130455;5310849;5491244;5671638;5510849;5690849;5870849;6050849;6195965;6395965;6595965;6795965;6995965;7195965;7395965;7065573;7230573;7395573;7581051;7646051;7711051;7776051;7841051;7906051;7971051;8036051;8101051;8166051;8231051;8296051;8120131;8135131;8150131;
PB;25;Paraíba;3201114;3233365;3265616;3297867;3330118;3305616;3325616;3345616;3365616;3444794;3484794;3524794;3564794;3604794;3644794;3684794;3641395;3666395;3691395;3766528;3776528;3786528;3796528;3806528;3816528;3826528;3836528;3846528;3856528;3866528;3876528;3974687;3989687;4004687;
PE;26;Pernambuco;7127855;7183563;7239071;7294579;7350087;7399071;7449071;7499071;7549071;7929154;7979154;8029154;8079154;8129154;8179154;8229154;8485386;8535386;8585386;8796448;8826448;8856448;8886448;8916448;8946448;8976448;9006448;9036448;9066448;9096448;9126448;9058931;9073931;9088931;
PI;22;Piauí;2582137;2607611;2633085;2658559;2684033;2673085;2698085;2723085;2748085;2843428;2868428;2893428;2918428;2943428;2968428;2993428;3032421;3057421;3082421;3118360;3133360;3148360;3163360;3178360;3193360;3208360;3223360;3238360;3253360;3268360;3283360;3271199;3276199;3281199;
PR;41;Paraná;8448713;8576259;8703804;8831350;8958895;9003804;9133804;9263804;9393804;9564643;9694643;9824643;9954643;10084643;10214643;10344643;10284503;10364503;10444503;10444526;10594526;10744526;10894526;11044526;11194526;11344526;11494526;11644526;11794526;11944526;12094526;11444380;11544380;11644380;
RJ;33;Rio de Janeiro;12807706;13007007;13206308;13405609;13604910;13406308;13656308;13906308;14156308;14392106;14592106;14792106;14992106;15192106;15392106;15592106;15420375;15555152;15689929;15989929;16019929;16049929;16079929;16109929;16139929;16169929;16199929;16229929;16259929;16289929;16319929;16055174;16035174;16015174;
RN;24;Rio Grande do Norte;2415567;2467114;2518660;2570207;2621753;2558660;2608660;2658660;2708660;2777509;2827509;2877509;2927509;2977509;3027509;3077509;3013740;3048740;3083740;3168027;3183027;3198027;3213027;3228027;3243027;3258027;3273027;3288027;3303027;3318027;3333027;3302729;3307729;3312729;
RO;11;Rondônia;1132692;1160999;1189306;1217613;1245920;1229306;1259306;1289306;1319306;1380952;1410952;1440952;1470952;1500952;1530952;1560952;1453756;1473756;1493756;1562409;1567409;1572409;1577409;1582409;1587409;1592409;1597409;1602409;1607409;1612409;1617409;1581196;1586196;1591196;
RR;14;Roraima;217583;224358;231131;237906;244681;247131;263131;279131;295131;324397;334397;344397;354397;364397;374397;384397;395725;405725;415725;450479;470479;490479;510479;530479;550479;570479;590479;610479;630479;650479;670479;636707;646707;656707;
RS;43;Rio Grande do Sul;9138670;9281679;9424688;9567697;9710706;9634688;9774688;9914688;10054688;10187842;10317842;10447842;10577842;10707842;10837842;10967842;10582840;10632840;10682840;10693929;10723929;10753929;10783929;10813929;10843929;10873929;10903929;10933929;10963929;10993929;11023929;10882965;10902965;10922965;
SC;42;Santa Catarina;4541994;4623619;4705244;4786869;4868494;4875244;4955244;5035244;5115244;5357864;5437864;5517864;5597864;5677864;5757864;5837864;5866252;5946252;6026252;6248436;6348436;6448436;6548436;6648436;6748436;6848436;6948436;7048436;7148436;7248436;7348436;7610361;7710361;7810361;
SE;28;Sergipe;1491876;1527948;1564020;1600092;1636164;1624020;1664020;1704020;1744020;1784829;1824829;1864829;1904829;1944829;1984829;2024829;1939426;1979426;2019426;2068017;2083017;2098017;2113017;2128017;2143017;2158017;2173017;2188017;2203017;2218017;2233017;2210004;2215004;2220004;
SP;35;São Paulo;31588925;32354018;33119110;33884203;34649295;34119110;34619110;35119110;35619110;37035456;37435456;37835456;38235456;38635456;39035456;39435456;39827570;40127570;40427570;41262199;41462199;41662199;41862199;42062199;42262199;42462199;42662199;42862199;43062199;43262199;43462199;44411238;44611238;44811238;
TO;17;Tocantins;919863;952253;984642;1017032;1049421;1048642;1083642;1118642;1153642;1157690;1182690;1207690;1232690;1257690;1282690;1307690;1243627;1278627;1313627;1383445;1403445;1423445;1443445;1463445;1483445;1503445;1523445;1543445;1563445;1583445;1603445;1511460;1526460;1541460;
