Taxa de pobreza nacional
Sigla;Código;Estado;2019;2020;2021;2022;2023;
AC;12;Acre;51,9;48,4;54,1;51;51,4968307368981;
AL;27;Alagoas;58,2;53,7;60,3;54,2;46,2283508450686;
AM;13;Amazonas;56,4;51,6;58,4;55,1;45,4932755808476;
AP;16;Amapá;53,5;49,1;57;47,8;32,8925396236173;
BA;29;Bahia;50,6;46,6;55,8;50,5;45,9567230401765;
CE;23;Ceará;51;47,5;54,6;50,7;48,7233692607258;
DF;53;Distrito Federal;18;17,9;21;17,1;15,4147755955307;
ES;32;Espírito Santo;27,7;26,2;34,1;26,3;22,8134626379244;
GO;52;Goiás;27,1;26;31,4;22,7;18,4388884256177;
MA;21;Maranhão;62,1;57,3;65,6;56,7;51,2180090410523;
MG;31;Minas Gerais;27,3;24,3;31,3;27;19,7695314016148;
MS;50;Mato Grosso do Sul;22,2;23,9;29,8;21,3;19,2788580195199;
MT;51;Mato Grosso;23;24,2;28,6;22,1;17,2426881577232;
PA;15;Pará;54,7;46,3;55,1;47;39,2429459237995;
PB;25;Paraíba;51,9;49,2;56,2;52,7;47,436198335318;
PE;26;Pernambuco;51,8;49,2;59,7;50,7;47,478001724886;
PI;22;Piauí;52,6;46,6;51,8;48,2;45,3403179880623;
PR;41;Paraná;20,1;20,1;23,4;20;17,2917404791827;
RJ;33;Rio de Janeiro;25,8;25,9;30,5;26,6;21,032269174701;
RN;24;Rio Grande do Norte;47,1;41,6;50,9;44,2;43,5067334061648;
RO;11;Rondônia;32,5;28,7;39,2;29,6;24,4140564982483;
RR;14;Roraima;49,7;48,5;57,1;45,1;35,4768890350515;
RS;43;Rio Grande do Sul;15,9;16,8;18,9;16,8;14,4216685711101;
SC;42;Santa Catarina;11,9;13,3;14,8;12,8;11,4788244243592;
SE;28;Sergipe;52,5;43,9;55,7;45,6;44,0732058472424;
SP;35;São Paulo;18,7;20,2;23,7;19,6;16,4653849782578;
TO;17;Tocantins;43,7;38,2;42,8;34;28,5988038059199;
