IVS - subíndice de Renda e Trabalho
Sigla;Código;Estado;2017;2018;2019;2020;2021;2022;
AC;12;Acre;0,419;0,383;0,4;0,406;0,424;0,329;
AL;27;Alagoas;0,46;0,45;0,429;0,448;0,452;0,335;
AM;13;Amazonas;0,379;0,374;0,372;0,375;0,408;0,291;
AP;16;Amapá;0,385;0,396;0,386;0,385;0,359;0,285;
BA;29;Bahia;0,435;0,43;0,416;0,425;0,452;0,373;
CE;23;Ceará;0,364;0,354;0,335;0,347;0,368;0,298;
DF;53;Distrito Federal;0,199;0,198;0,208;0,222;0,223;0,172;
ES;32;Espírito Santo;0,28;0,264;0,246;0,263;0,287;0,201;
GO;52;Goiás;0,253;0,228;0,25;0,274;0,27;0,198;
MA;21;Maranhão;0,44;0,455;0,45;0,429;0,495;0,359;
MG;31;Minas Gerais;0,29;0,279;0,268;0,287;0,3;0,215;
MS;50;Mato Grosso do Sul;0,238;0,22;0,206;0,227;0,232;0,172;
MT;51;Mato Grosso;0,232;0,221;0,209;0,226;0,233;0,161;
PA;15;Pará;0,377;0,394;0,365;0,336;0,397;0,342;
PB;25;Paraíba;0,375;0,385;0,427;0,452;0,464;0,366;
PE;26;Pernambuco;0,43;0,409;0,4;0,408;0,461;0,353;
PI;22;Piauí;0,4;0,406;0,412;0,419;0,422;0,37;
PR;41;Paraná;0,212;0,203;0,197;0,225;0,215;0,159;
RJ;33;Rio de Janeiro;0,271;0,263;0,265;0,305;0,311;0,227;
RN;24;Rio Grande do Norte;0,398;0,367;0,367;0,379;0,389;0,325;
RO;11;Rondônia;0,255;0,283;0,256;0,267;0,276;0,226;
RR;14;Roraima;0,269;0,308;0,328;0,34;0,331;0,226;
RS;43;Rio Grande do Sul;0,215;0,218;0,204;0,227;0,216;0,178;
SC;42;Santa Catarina;0,157;0,146;0,141;0,145;0,133;0,106;
SE;28;Sergipe;0,431;0,458;0,434;0,439;0,484;0,378;
SP;35;São Paulo;0,239;0,236;0,219;0,247;0,26;0,174;
TO;17;Tocantins;0,305;0,3;0,334;0,31;0,347;0,206;
