Auxiliares e técnicos de saúde por 10.000 habitantes
Sigla;Código;Estado;2017;2018;2019;2020;2021;2022;2023;2024;
AC;12;Acre;31,7976656543566;31,1163262449694;31,0141903881805;34,2294452543081;37,1933154142089;36,5196825607843;36,7583028931311;39,0203161142408;
AL;27;Alagoas;24,7226129129917;25,5720373864631;26,5812203761703;29,4355241330549;31,8841737213933;33,5427450427197;36,8868167709406;42,0617884805377;
AM;13;Amazonas;31,2720067572884;33,5531860302293;34,3322483062487;37,154396935928;39,348635048336;39,679355472689;41,613696205849;45,143595341098;
AP;16;Amapá;41,7781762605914;43,3698134043164;42,9194783368865;48,3132684007759;50,8321416092721;56,3323976028874;64,1076979292325;70,3764691130744;
BA;29;Bahia;24,474795299863;25,5638487108659;26,4596645334295;28,1706205127089;30,5369278038157;31,6832709498221;34,1579535578702;36,944458865944;
CE;23;Ceará;17,6849806322315;18,6312321612053;20,5593729075097;23,2189989968382;27,3080256866371;30,0917298695308;33,3212927458976;36,3647941833657;
DF;53;Distrito Federal;55,6175923338691;57,5349288469732;59,323784480769;65,8265035996801;70,0351426553552;71,8293475715677;72,9770385804014;73,9309270629318;
ES;32;Espírito Santo;33,6639542908501;35,8837471734047;38,2680336265496;41,619735961836;44,3161224181206;45,0454008762963;47,7463820525075;51,774334741789;
GO;52;Goiás;26,326455373167;27,0880529623924;27,86523881635;29,5707872245097;32,4530174056818;35,2777678258074;37,8472381168663;39,3513823059881;
MA;21;Maranhão;23,4720035473465;25,1585334679923;26,5413704610525;28,4523274653942;31,1795504220428;33,3619744938867;37,6200005121443;42,6702144451925;
MG;31;Minas Gerais;36,2868939399882;37,551179077287;38,8428339310135;41,8006113126584;46,0911848171232;47,4466493795573;49,617480274411;52,6457550159437;
MS;50;Mato Grosso do Sul;29,6842716981762;30,781826304462;32,1208287243381;34,7303125027462;39,588838240506;40,8670613587483;41,9905450840031;44,3302278913147;
MT;51;Mato Grosso;28,3586134010594;29,3136428318668;30,4707139247927;32,0160805303747;34,7902051335058;35,5366853114616;36,8600656699632;37,9965691785448;
PA;15;Pará;20,2727555299209;20,9425300398493;21,3589697540684;23,6094270907657;25,8470514946543;26,6076977036488;28,140276597819;30,6968228807554;
PB;25;Paraíba;24,6330486556964;25,6964684396865;26,0565017813855;26,9061292903003;29,2874727776238;30,2522844878885;33,8088047557487;39,1865940980063;
PE;26;Pernambuco;31,2524322531277;31,965108710169;32,7252011863193;35,0854257067673;38,3566437061641;39,2884032270989;40,7702131581926;42,5899393603549;
PI;22;Piauí;26,272860025494;27,6948466908556;29,314964204666;31,148861129289;34,0620982503429;35,2065791233535;38,8046002418584;43,8501252797242;
PR;41;Paraná;31,0814185411312;31,9678985500287;33,205768863162;34,948645243986;39,1203790880222;40,219750236708;41,5814393601014;43,6987714521581;
RJ;33;Rio de Janeiro;40,6197747036203;41,3472214775947;41,4954068098188;42,1604425191634;49,1232180953794;51,6948876814457;52,9329265979594;54,9243687992093;
RN;24;Rio Grande do Norte;29,384881598322;30,1577651879893;30,9037761206415;33,8114972589846;37,4660781782595;38,5023043379119;41,4047796288116;45,3020749330663;
RO;11;Rondônia;33,2786019773884;35,5387408546594;36,613728331153;41,3161376006891;45,1808738171308;44,9966410092038;46,366289231559;46,8705767730465;
RR;14;Roraima;51,5541049154149;53,1420404878523;51,5880025290502;52,9817855610593;59,1475666135346;60,9688488138869;61,7350094208006;60,3056484461576;
RS;43;Rio Grande do Sul;39,7522010483331;41,0358525297219;42,2537342613031;45,2103746137428;50,699578222094;51,6407935019449;54,0090206171787;56,8658207415936;
SC;42;Santa Catarina;31,5118696462822;32,4613376818636;33,2810498603262;34,0466743348615;37,6162114493957;38,861585011764;40,2933801526522;42,5384182043814;
SE;28;Sergipe;30,9072272976837;31,1737189762461;31,6346673324918;34,208832804399;39,290643992894;41,1709562868809;44,0619767916422;47,4533010748511;
SP;35;São Paulo;42,4526804071049;43,3127342574129;44,3488242392244;46,92031584517;49,7278883773733;51,0331778661313;52,2548756391324;54,2407205091442;
TO;17;Tocantins;43,5457117767587;43,9511908964318;43,9892315471672;48,0275087576929;51,0484029635293;51,6907638772968;52,4537213396453;55,8428884372148;
