Despesa por função - saúde e saneamento - empenhada - estadual
Sigla;Código;Estado;2017;2018;2019;2020;2021;2022;2023;
AC;12;Acre;956570437,48;1054523875,32;995385374,27;1270242688,88;1390193354,78;1586209591,23;1842898088,73;
AL;27;Alagoas;1105665076,76;1333359424,17;1326634153,92;1567951987,23;2414753208,22;2799934142,42;2799509542,77;
AM;13;Amazonas;2436933663,14;2800672292,31;2969973732,3;3914256006,21;4468274881,96;4594280012,02;4857331915,59;
AP;16;Amapá;682529348,51;757636648,27;800384336,79;1185466927,03;1416556453,92;1406959838,79;1872625285,07;
BA;29;Bahia;7110938935,82;7453024793,12;7817073961,5;8746113642,4;9774034226,35;11027877220,49;12528737145,79;
CE;23;Ceará;3592167601,13;3812005892,78;3919740109,41;4609308925,76;5206817163,28;6012356621,97;6171675951,48;
DF;53;Distrito Federal;3471816458,32;3580568357,55;3193351917,8;3763600540,11;4675888506,22;5274603895,23;4203437163,58;
ES;32;Espírito Santo;2364922991,56;2638349125,23;2642080503,38;3222378730,79;3853706867,15;4176665709,73;4940870439,16;
GO;52;Goiás;3688714441,52;3938367435,94;4372169253,65;4511375954,5;5815528327,6;5976621148,89;4910756070,44;
MA;21;Maranhão;2682007143,7;2746195467,44;2426150002,25;3067348034,31;3550300224,6;4212634918,94;4733833430,64;
MG;31;Minas Gerais;8606047757,55;7482980197,62;10142678538,65;9762132741,87;13833431706,79;12622855970,24;13595397549,44;
MS;50;Mato Grosso do Sul;1266785544,4;1347332892,23;1400013933,06;1622865354,67;1900871659,28;2227436851,71;2362287049,83;
MT;51;Mato Grosso;1613062895,99;1825580733,37;1801877941,71;2018381954,72;2977190793,24;3279878090;3804722039,99;
PA;15;Pará;2594225972,21;3135659206,43;2855943600,81;3949854793,14;4488580185,15;5171095192,56;5654080997,94;
PB;25;Paraíba;1363810348,64;1466143344,74;1377492761,48;1646238664,54;2071326404;2157988496,71;2685387371,62;
PE;26;Pernambuco;5139289622,29;5287722577,58;5508883865,97;6763222984,49;7705736687,29;8687970602,71;8599003075,92;
PI;22;Piauí;1603749309,63;1608602996,46;1727168499,14;2243838787,44;2431276029,39;2938977936,17;2958687842,12;
PR;41;Paraná;5156147092,8;5272775279,12;5254727999,08;6160880473,04;6630881836,13;6867372738;8276873213,07;
RJ;33;Rio de Janeiro;6539295728,74;6215920921,92;5631635866,69;6623086843,88;8376540215,47;9487760366;8466461752,88;
RN;24;Rio Grande do Norte;1368166159,09;1569741459,58;1398041951,47;1784563561,68;1923669100,77;2157387742,1;2383499931,97;
RO;11;Rondônia;1149828995,38;1157017620,71;1121567323,32;1480936731,45;1795228097,96;1924583962,49;2303851832,02;
RR;14;Roraima;742289440,91;756069764,5;778723866,95;885619834,16;1222033499,38;1463056257,75;1405665899,83;
RS;43;Rio Grande do Sul;5630996489,94;6065200001,81;6276796941,61;7416814673,24;8268307895,08;8138678491,61;9538557730,32;
SC;42;Santa Catarina;2924916032,24;3502440599,68;3308088618,7;4137585284,75;4755710104,26;5919909612,66;6455619161,26;
SE;28;Sergipe;1092847826,87;1201210767,12;1327113458,37;1631910331,21;1918443616,28;2310996450,72;2320940235,46;
SP;35;São Paulo;23825810741,7;24726663134,66;25538750362,89;28804147060,67;30226723877,74;33030717629,36;33936154598,62;
TO;17;Tocantins;1431295010,2;1688927976,24;1768472027,05;1938985027,39;2355093465,93;2707910373,61;3242608566,37;
