Empregados - admissões - Novo Caged sem ajuste
Sigla;Código;Estado;2020.01;2020.02;2020.03;2020.04;2020.05;2020.06;2020.07;2020.08;2020.09;2020.10;2020.11;2020.12;2021.01;2021.02;2021.03;2021.04;2021.05;2021.06;2021.07;2021.08;2021.09;2021.10;2021.11;2021.12;2022.01;2022.02;2022.03;2022.04;2022.05;2022.06;2022.07;2022.08;2022.09;2022.10;2022.11;2022.12;2023.01;2023.02;2023.03;2023.04;2023.05;2023.06;2023.07;2023.08;2023.09;2023.10;2023.11;2023.12;2024.01;2024.02;2024.03;2024.04;2024.05;2024.06;2024.07;2024.08;2024.09;2024.10;2024.11;2024.12;2025.01;2025.02;
AC;12;Acre;2384;2602;2311;1602;1535;1535;1804;2528;2209;2585;2336;1724;2388;2906;2385;2592;3765;3109;3412;3329;4216;3754;3523;2571;3347;4016;4149;3971;4802;4774;4881;4459;3780;3845;3534;2359;3633;4170;4738;3659;4508;4401;4213;4406;3804;3915;3790;3461;3939;4798;5003;5094;4710;4413;4750;4492;4642;4656;3905;3016;3905;5205;
AL;27;Alagoas;7701;7896;6913;2760;4999;5560;7054;9415;22544;10582;9396;8209;9258;8918;9812;8521;9790;11443;11955;14212;25389;12338;12115;10137;11372;12426;11735;13019;14977;13407;12587;16057;26658;15368;13318;9874;13265;11638;14951;12148;13246;13549;13605;16761;27443;15583;14582;11015;14097;13135;14865;15678;15370;14601;16625;20445;28968;17844;15216;11369;15760;16349;
AM;13;Amazonas;12681;12123;10920;5709;5500;7853;12197;15618;15444;16013;15467;11341;13581;10402;14738;14329;15537;17514;20640;19883;18207;17266;17825;13419;17858;18798;18049;19203;19788;21017;21760;22478;21243;19738;18892;13252;19385;18231;19634;18497;20191;20129;21211;23053;19809;20125;19630;15411;21584;21421;22651;23687;23375;23844;26037;27276;24472;26221;25689;18788;27739;27922;
AP;16;Amapá;1721;1753;1318;536;809;1024;1459;1797;1695;2072;1300;1848;1744;1940;1918;1368;2024;2068;2519;2672;2571;2511;3006;2206;2856;2759;3836;3101;3305;3799;3544;3928;3574;3245;3133;2432;3302;2977;3207;2820;3056;3270;3809;4016;3852;3713;3362;2795;4222;3811;3516;3778;3595;5081;4153;4622;4206;4086;3307;2688;4299;4537;
BA;29;Bahia;46691;47644;44432;23170;24664;29566;34820;43764;50696;54399;53506;48695;56838;60982;57868;52539;56534;54517;57409;63400;61793;65413;65904;56316;66661;72749;73650;73891;76499;69349;73243;81422;74398;69817;64875;54442;69209;68886;82027;74383;76189;71199;72577;82230;72460;71894;70975;58434;73389;79199;86774;84239;82982;77192;83823;89778;83366;82210;76694;61748;87155;99593;
CE;23;Ceará;31368;33109;29870;12400;14347;18667;25702;33795;36754;42760;39670;29873;39129;43218;34741;30404;31597;38045;43072;48232;47068;43332;42966;33423;40658;46036;44502;40892;45390;46208;48247;50815;50455;44162;43515;30527;44599;43144;47553;42883;46216;48059;47597;54276;50402;47610;45220;35081;47820;48488;49129;50529;52255;53016;54863;57431;54899;53756;49349;36586;53040;60215;
DF;53;Distrito Federal;24153;25567;21882;9642;11709;15027;18402;20983;20494;23423;22784;19772;23713;24585;22998;22611;24224;27057;28891;31425;29890;29853;31695;26731;31712;35838;33684;32313;34050;33222;34179;35982;35411;33184;31759;26443;31868;36736;36275;31807;33418;33300;35042;37207;34061;35858;33194;27519;35508;38813;39878;38284;37001;35542;38171;39671;39539;40436;34863;32965;43191;43723;
ES;32;Espírito Santo;25508;28655;25672;10288;14822;17397;20368;24463;27126;30981;32203;26806;29624;32332;33472;25100;33369;32850;32772;36738;33663;33728;35309;29975;36384;41424;38622;38642;47904;39028;36865;42250;40899;37346;36333;30174;39621;39202;46457;40149;53928;42581;41987;43789;40325;41141;39677;34300;43899;45858;49167;51972;52900;45337;48876;48666;46307;48747;41923;34766;47282;54914;
GO;52;Goiás;47818;48015;42583;23849;27567;34850;36587;42022;45187;49753;48685;41756;55956;58791;51285;53389;56390;59649;59457;62950;61742;62588;61436;52663;71494;76489;75022;77047;78147;77240;73090;77764;73827;68466;63359;53379;77136;74899;86209;77780;78198;76905;74011;80421;74409;74489;69259;56825;86239;86855;90833;91738;83129;82140;83246;82772;79654;82261;72689;59063;94858;98124;
