Empregados - demissões - Novo Caged sem ajuste
Sigla;Código;Estado;2020.01;2020.02;2020.03;2020.04;2020.05;2020.06;2020.07;2020.08;2020.09;2020.10;2020.11;2020.12;2021.01;2021.02;2021.03;2021.04;2021.05;2021.06;2021.07;2021.08;2021.09;2021.10;2021.11;2021.12;2022.01;2022.02;2022.03;2022.04;2022.05;2022.06;2022.07;2022.08;2022.09;2022.10;2022.11;2022.12;2023.01;2023.02;2023.03;2023.04;2023.05;2023.06;2023.07;2023.08;2023.09;2023.10;2023.11;2023.12;2024.01;2024.02;2024.03;2024.04;2024.05;2024.06;2024.07;2024.08;2024.09;2024.10;2024.11;2024.12;2025.01;2025.02;
AC;12;Acre;2179;1802;2238;1805;1405;1423;1521;1664;1632;1725;1549;1748;2056;1947;2116;2026;2181;2142;2606;2983;3114;2727;2545;2823;3116;3305;3387;3173;3913;3582;3857;3601;3028;3166;3070;3154;4285;3360;4172;3503;3946;3383;3472;3958;3444;3788;3547;3825;3972;3945;3820;3827;3786;3499;4206;4140;3687;4509;4277;3751;4550;4776;
AL;27;Alagoas;12236;16654;12578;9855;7371;4697;5483;5710;5952;5939;5679;6572;9456;9403;18122;11729;7065;6792;7893;8756;8504;8894;8401;9522;11696;13026;21764;13200;11542;9894;10650;11722;11033;11033;10766;13785;13402;11478;14824;16210;21434;12084;11436;13378;11283;11420;11748;10914;13324;16021;24454;17285;13146;11915;13679;15274;13548;14399;13443;14938;16700;21820;
AM;13;Amazonas;11943;10607;13602;14292;10346;8126;9223;8599;9751;10344;10031;12591;11525;11027;12883;12377;11694;12091;13354;14036;13905;15167;13008;16567;17233;15581;16394;15488;15629;15782;18140;18390;16029;16275;16783;18661;18949;16668;18087;16533;18304;17948;17488;18500;16836;17392;17046;18247;20528;18038;19451;20111;19908;18808;21298;21922;21809;23621;20256;23088;25339;24619;
AP;16;Amapá;1831;1562;1613;1341;1007;998;1601;1363;1245;1235;1028;1522;1722;1662;1673;1428;1543;1691;1725;1790;2290;2606;2035;2518;2376;2601;2614;2349;2971;2930;2743;2912;2835;3744;3261;3413;3235;2838;3248;2426;2998;2769;2818;3027;2825;3260;2948;3582;3019;3659;3239;2876;3279;3107;3681;3272;3250;3689;3083;3775;3733;3850;
BA;29;Bahia;45832;41478;57354;55652;41697;32099;31638;34344;33773;37962;39625;48193;41789;41989;48048;43332;46494;46913;46036;45518;50448;52951;49619;61659;55382;60201;65814;58475;60157;56270;59925;64006;58753;63115;60450;70791;65580;60843;72703;63133;66761;62880;67397;70712;62606;65989;63601;75733;68568;72950;74292;73590;74197;68293;74209;73629;68480;82789;69503;80409;80223;79461;
CE;23;Ceará;30818;27198;33201;42270;23823;20407;19975;21575;24073;26324;23242;26042;31257;30875;36305;27107;27313;28328;29652;31725;33401;35756;30313;34526;42166;37989;41134;35588;37918;36603;38139;42102;38377;39157;36961;37531;47632;38814;42808;38395;42781;41488;41107;43344;39919;41480;40546;38806;46556;44591;42944;44851;45299;45396;51375;48137;45377;50569;44906;42808;54265;53727;
DF;53;Distrito Federal;23954;21381;30230;24982;16824;17574;17442;17562;17763;18641;18502;20515;20100;21347;20820;18911;20728;22401;21226;22286;23444;24486;23747;29883;28605;28614;29077;26833;29630;28889;29968;30636;28615;28389;27651;34719;32937;29244;31177;26039;31842;30557;30767;33340;29968;30679;29142;33250;32650;32302;32855;33026;34508;32366;35190;35575;33328;36597;31647;38833;35706;36693;
ES;32;Espírito Santo;25700;25427;29487;28169;21649;17613;18363;18297;20144;21753;21122;28228;24653;25093;29166;24348;25928;26840;28826;30914;27574;30301;26774;34673;32704;34362;35665;33643;35913;36081;36838;37683;32952;34150;32579;37161;37947;35642;42008;34361;40335;41945;40176;43474;35910;37717;37905;41170;40283;41104;43066;43805;45623;45196;49905;46151;40672;44451;41728;41856;46731;48640;
GO;52;Goiás;42509;39725;43853;43043;32148;30516;31658;34306;37029;40948;42272;42622;39968;40801;46333;42371;44495;44508;47231;51283;54748;57738;57101;59094;58973;58927;66667;63881;63513;64882;64010;70177;65471;67456;65746;65493;67099;63409;72542;65855;71901;71814;68576;74270;69920;73807;76332;73053;71313;72749;75091;78154;81377;73535;77705;78037;74138;82306;75834;81400;80663;77540;
MA;21;Maranhão;11556;10104;11882;12102;10100;7998;8686;9532;10146;10508;10706;13841;14706;12431;11928;11750;11858;11727;13012;13174;14023;13211;14146;15953;17369;16157;17232;16662;16984;16426;17430;19073;16195;16826;17746;19779;18529;17166;18823;16301;17881;18685;18346;20507;18603;18579;18400;18501;20777;20612;19335;19238;20207;18797;20410;20852;18699;21656;19889;22803;23083;22793;
MG;31;Minas Gerais;133634;128646;158333;149213;113171;97635;98791;106822;113743;121810;122357;132187;131429;130956;146200;135825;134927;139703;147733;153491;157682;164035;159848;173358;178873;182578;192852;183173;187529;180291;187750;198562;187716;183431;181566;192670;196442;189634;216896;186452;209548;196071;200111;217765;195873;203127;198258;208925;208347;211434;217656;225754;225209;203602;230675;225579;213964;229691;203482;227228;232341;230581;
MS;50;Mato Grosso do Sul;16511;16411;20118;16489;13179;12501;13616;13745;14786;15926;14248;16903;15972;16606;18715;16769;17666;17321;18399;20660;21009;20812;21362;23051;24401;24599;27819;26474;25411;25560;26882;28271;26606;25021;25445;28206;28755;28304;33374;28759;31003;28921;29750;32468;29855;28957;29619;31551;31811;33056;35134;35265;31956;31288;33653;32401;31360;32561;30673;37196;33687;33005;
MT;51;Mato Grosso;27228;27606;29858;25827;22123;20685;22521;24762;26316;26794;26756;28697;26632;28160;32036;29362;29354;30332;31788;35127;36188;36410;34721;38525;38440;40789;47588;42520;42686;40565;43598;47592;43518;44406;44306;43788;43483;45160;52802;44353;49220;44661;46655;50237;47245;48310;48913;50577;48553;52109;54152;53678;51676;48029;52270;51046;50030;52645;51677;54967;51093;52931;
