﻿Taxa de desemprego - sem instrução ou equivalente (IBGE/Pnad Contínua)
Sigla;Código;Estado;2017;2018;2019;2020;2022;2023;2024
AC;12;Acre;6,9;6,1;8,6;5,5;9,9;3,8;6,6
AL;27;Alagoas;10,1;10,5;9,8;17,8;6,0;9,4;6,6
AM;13;Amazonas;3,3;5,7;2,6;1,9;2,9;4,3;6,6
AP;16;Amapá;14,0;8,3;11,4;6,5;11,9;7,8;4,2
BA;29;Bahia;12,8;16,3;12,8;12,5;7,9;7,0;8,7
CE;23;Ceará;8,0;4,0;6,0;6,9;8,1;5,8;3,0
DF;53;Distrito Federal;6,0;7,1;7,3;8,5;6,2;8,8;15,7
ES;32;Espírito Santo;7,1;9,4;8,7;8,8;5,6;4,4;3,0
GO;52;Goiás;11,1;5,4;13,2;12,0;7,1;4,2;5,1
MA;21;Maranhão;7,9;8,6;5,2;10,5;7,6;4,4;6,0
MG;31;Minas Gerais;8,1;6,6;11,5;8,1;5,0;2,2;4,5
MS;50;Mato Grosso do Sul;9,0;4,8;5,6;5,1;2,1;3,7;5,4
MT;51;Mato Grosso;5,5;6,9;1,8;10,6;1,1;1,9;1,7
PA;15;Pará;4,4;5,2;4,1;5,4;5,4;3,6;5,5
PB;25;Paraíba;6,0;8,7;11,6;9,0;8,3;7,5;7,5
PE;26;Pernambuco;13,5;10,2;13,6;11,8;9,8;8,3;11,1
PI;22;Piauí;7,6;9,8;7,9;8,7;5,8;7,7;4,3
PR;41;Paraná;8,0;7,2;7,2;6,8;3,8;7,7;5,7
RJ;33;Rio de Janeiro;12,8;12,0;13,0;8,9;16,3;7,8;8,0
RN;24;Rio Grande do Norte;10,1;8,4;13,0;9,2;8,4;6,6;6,1
RO;11;Rondônia;3,8;11,3;4,2;2,7;4,7;3,3;2,6
RR;14;Roraima;7,4;9,0;5,1;16,2;9,1;6,7;6,2
RS;43;Rio Grande do Sul;4,5;7,6;3,8;3,6;1,6;7,6;3,0
SC;42;Santa Catarina;6,5;9,0;8,8;3,6;;0,3;1,7
SE;28;Sergipe;9,3;9,6;5,6;14,8;8,4;3,9;3,2
SP;35;São Paulo;7,8;15,9;7,4;12,7;6,6;8,0;5,4
TO;17;Tocantins;7,9;8,4;3,3;9,3;5,4;7,0;3,5
